노데,노데
1100000000,서울특별시
2600000000,부산광역시
2700000000,대구광역시
2800000000,인천광역시
2900000000,광주광역시
3000000000,대전광역시
3100000000,울산광역시
3611000000,세종특별자치시
4100000000,경기도
4111000000,경기도 수원시
4113000000,경기도 성남시
4115000000,경기도 의정부시
4117000000,경기도 안양시
4119000000,경기도 부천시
4121000000,경기도 광명시
4122000000,경기도 평택시
4125000000,경기도 동두천시
4127000000,경기도 안산시
4128000000,경기도 고양시
4129000000,경기도 과천시
4131000000,경기도 구리시
4136000000,경기도 남양주시
4137000000,경기도 오산시
4139000000,경기도 시흥시
4141000000,경기도 군포시
4143000000,경기도 의왕시
4145000000,경기도 하남시
4146000000,경기도 용인시
4148000000,경기도 파주시
4150000000,경기도 이천시
4155000000,경기도 안성시
4157000000,경기도 김포시
4159000000,경기도 화성시
4161000000,경기도 광주시
4163000000,경기도 양주시
4165000000,경기도 포천시
4167000000,경기도 여주시
4200000000,강원도
4211000000,강원도 춘천시
4213000000,강원도 원주시
4215000000,강원도 강릉시
4217000000,강원도 동해시
4219000000,강원도 태백시
4221000000,강원도 속초시
4223000000,강원도 삼척시
4300000000,충청북도
4311000000,충청북도 청주시
4313000000,충청북도 충주시
4315000000,충청북도 제천시
4400000000,충청남도
4413000000,충청남도 천안시
4415000000,충청남도 공주시
4418000000,충청남도 보령시
4420000000,충청남도 아산시
4421000000,충청남도 서산시
4423000000,충청남도 논산시
4425000000,충청남도 계룡시
4427000000,충청남도 당진시
4500000000,전라북도
4511000000,전라북도 전주시
4513000000,전라북도 군산시
4514000000,전라북도 익산시
4518000000,전라북도 정읍시
4519000000,전라북도 남원시
4521000000,전라북도 김제시
4600000000,전라남도
4611000000,전라남도 목포시
4613000000,전라남도 여수시
4615000000,전라남도 순천시
4617000000,전라남도 나주시
4623000000,전라남도 광양시
4700000000,경상북도
4711000000,경상북도 포항시
4713000000,경상북도 경주시
4715000000,경상북도 김천시
4717000000,경상북도 안동시
4719000000,경상북도 구미시
4721000000,경상북도 영주시
4723000000,경상북도 영천시
4725000000,경상북도 상주시
4728000000,경상북도 문경시
4729000000,경상북도 경산시
4800000000,경상남도
4812000000,경상남도 창원시
4817000000,경상남도 진주시
4822000000,경상남도 통영시
4824000000,경상남도 사천시
4825000000,경상남도 김해시
4827000000,경상남도 밀양시
4831000000,경상남도 거제시
4833000000,경상남도 양산시
5000000000,제주특별자치도
5011000000,제주특별자치도 제주시
5013000000,제주특별자치도 서귀포시
